Timestamp             AHC.Open       AHC.High        AHC.Low      AHC.Close                .PE 
01/02/00                 0.690          0.690          0.690          0.690               4.440
09/02/00                 0.710          0.740          0.710          0.740               4.760
22/02/00                 0.670          0.670          0.670          0.670               4.280
23/02/00                 0.680          0.680          0.680          0.680               4.390
24/02/00                 0.690          0.690          0.690          0.690               4.440
28/02/00                 0.710          0.710          0.710          0.710               4.550
29/02/00                 0.760          0.760          0.760          0.760               4.870
15/03/00                 0.720          0.720          0.720          0.720               5.260
16/03/00                 0.740          0.740          0.740          0.740               5.380
17/03/00                 0.750          0.750          0.750          0.750               5.440
20/03/00                 0.750          0.750          0.750          0.750               5.440
21/03/00                 0.770          0.770          0.750          0.750               5.440
22/03/00                 0.770          0.770          0.770          0.770               5.560
23/03/00                 0.750          0.750          0.750          0.750               5.440
10/04/00                 0.750          0.750          0.750          0.750               5.440
11/04/00                 0.750          0.760          0.750          0.760               5.500
21/04/00                 0.770          0.770          0.770          0.770               5.560
27/04/00                 0.760          0.760          0.760          0.760               5.500
28/04/00                 0.740          0.760          0.740          0.760               5.500
04/05/00                 0.760          0.760          0.750          0.760               5.500
09/05/00                 0.750          0.760          0.750          0.760               5.500
10/05/00                 0.750          0.750          0.730          0.730               5.320
11/05/00                 0.730          0.730          0.730          0.730               5.320
22/05/00                 0.760          0.760          0.750          0.750               5.440
23/05/00                 0.750          0.760          0.750          0.760               5.500
24/05/00                 0.760          0.760          0.750          0.750               4.870
25/05/00                 0.750          0.750          0.750          0.750               4.870
26/05/00                 0.750          0.750          0.750          0.750               4.870
29/05/00                 0.750          0.750          0.750          0.750               4.870
16/06/00                 0.760          0.760          0.760          0.760               4.920
20/06/00                 0.780          0.780          0.780          0.780               5.080
28/06/00                 0.780          0.780          0.780          0.780               5.080
03/07/00                 0.770          0.770          0.770          0.770               4.980
24/07/00                 0.760          0.760          0.760          0.760               4.920
25/07/00                 0.780          0.780          0.780          0.780               5.080
30/08/00                 0.760          0.760          0.760          0.760               5.440
18/01/01                 0.760          0.760          0.760          0.760               5.230
30/01/01                 0.750          0.750          0.750          0.750               5.180
06/02/01                 0.750          0.750          0.750          0.750               5.180
09/02/01                 0.750          0.750          0.750          0.750               5.180
19/02/01                 0.770          0.770          0.770          0.770               5.290
22/03/01                 0.830          0.870          0.830          0.870               5.420
15/06/01                 0.760          0.760          0.750          0.750               4.540
18/06/01                 0.960          0.960          0.960          0.960               5.810
26/07/01                 0.920          0.920          0.920          0.920               5.550
15/08/01                 0.750          0.750          0.750          0.750               4.540
22/08/01                 0.960          0.960          0.960          0.960               4.390
23/08/01                 1.000          1.000          1.000          1.000               4.580
27/08/01                 0.800          0.800          0.800          0.800               3.670
28/08/01                 1.020          1.020          1.020          1.020               4.680
06/09/01                 1.020          1.020          1.020          1.020               4.680
05/10/01                 1.020          1.020          1.020          1.020               4.680
08/10/01                 1.020          1.020          1.020          1.020               4.680
16/10/01                 1.020          1.040          1.020          1.040               4.770
19/10/01                 1.040          1.040          1.040          1.040               4.770
24/10/01                 1.040          1.040          1.040          1.040               4.770
26/10/01                 0.960          0.960          0.960          0.960               4.390
08/11/01                 0.760          1.000          0.760          1.000               4.580
09/11/01                 1.080          1.080          1.040          1.040               4.770
12/11/01                 1.080          1.080          1.080          1.080               4.970
23/11/01                 1.080          1.080          1.080          1.080               3.940
30/11/01                 1.170          1.170          1.170          1.170               4.240
25/12/01                 1.250          1.250          1.250          1.250               4.540
28/12/01                 1.220          1.220          1.220          1.220               4.450
04/01/02                 1.220          1.220          1.220          1.220               4.450
08/01/02                 1.230          1.250          1.230          1.250               4.540
09/01/02                 1.290          1.300          1.290          1.300               4.720
11/01/02                 1.310          1.310          1.310          1.310               4.750
21/01/02                 1.310          1.310          1.310          1.310               4.750
