Timestamp           BJCHI.Open     BJCHI.High      BJCHI.Low    BJCHI.Close                .PE 
17/11/15                 7.000          7.000          6.850          6.900               9.960
18/11/15                 6.950          7.050          6.900          6.950              10.040
19/11/15                 7.000          7.050          6.950          6.950              10.040
20/11/15                 6.950          7.050          6.900          6.900               9.960
23/11/15                 7.000          7.000          6.900          6.950              10.040
24/11/15                 6.950          6.950          6.750          6.750               9.750
25/11/15                 6.750          6.900          6.750          6.850               9.890
26/11/15                 6.850          6.900          6.800          6.850               9.890
27/11/15                 6.800          6.850          6.750          6.800               9.820
30/11/15                 6.800          6.900          6.650          6.650               9.600
01/12/15                 6.650          6.750          6.650          6.650               9.600
02/12/15                 6.650          6.850          6.650          6.700               9.680
03/12/15                 6.550          6.650          6.500          6.550               9.460
04/12/15                 6.500          6.600          6.350          6.400               9.240
08/12/15                 6.400          6.450          5.750          5.900               8.520
09/12/15                 6.000          6.000          5.800          5.800               8.380
11/12/15                 5.800          6.000          5.700          5.850               8.450
14/12/15                 5.800          5.850          5.650          5.750               8.300
15/12/15                 5.750          5.950          5.750          5.950               8.590
16/12/15                 5.950          5.950          5.800          5.800               8.380
17/12/15                 5.850          5.950          5.750          5.800               8.380
18/12/15                 5.800          5.850          5.650          5.700               8.230
21/12/15                 5.600          5.600          5.350          5.350               7.730
22/12/15                 5.400          5.400          5.100          5.100               7.360
23/12/15                 5.150          5.250          5.150          5.250               7.580
24/12/15                 5.300          5.350          5.250          5.300               7.650
25/12/15                 5.400          5.500          5.300          5.300               7.650
28/12/15                 5.350          5.450          5.250          5.350               7.730
29/12/15                 5.350          5.400          5.300          5.350               7.730
30/12/15                 5.400          5.600          5.400          5.450               7.870
04/01/16                 5.500          5.700          5.500          5.550               8.010
05/01/16                 5.650          5.650          5.550          5.600               8.090
06/01/16                 5.600          5.750          5.600          5.700               8.230
07/01/16                 5.600          5.750          5.550          5.600               8.090
08/01/16                 5.650          5.700          5.400          5.450               7.870
11/01/16                 5.500          5.550          5.450          5.450               7.870
12/01/16                 5.500          5.750          5.500          5.650               8.160
13/01/16                 5.850          5.850          5.700          5.800               8.380
14/01/16                 5.750          5.900          5.650          5.800               8.380
15/01/16                 5.850          6.050          5.800          5.850               8.450
18/01/16                 5.800          6.000          5.800          5.900               8.520
19/01/16                 5.950          6.000          5.800          5.850               8.450
20/01/16                 5.950          5.950          5.750          5.800               8.380
21/01/16                 5.900          5.900          5.750          5.800               8.380
22/01/16                 5.850          5.900          5.800          5.850               8.450
25/01/16                 5.900          5.900          5.750          5.800               8.380
26/01/16                 5.800          5.850          5.750          5.800               8.380
27/01/16                 5.800          5.850          5.800          5.800               8.380
28/01/16                 5.850          5.850          5.650          5.700               8.230
29/01/16                 5.700          5.800          5.700          5.800               8.380
01/02/16                 5.800          5.800          5.650          5.650               8.160
02/02/16                 5.650          5.800          5.650          5.700               8.230
03/02/16                 5.700          5.800          5.650          5.750               8.300
04/02/16                 5.800          6.000          5.800          6.000               8.660
05/02/16                 6.100          6.350          6.100          6.250               9.030
08/02/16                 6.400          6.550          6.350          6.400               9.240
09/02/16                 6.450          6.750          6.450          6.700               9.680
10/02/16                 6.650          6.750          6.600          6.650               9.600
11/02/16                 6.700          6.800          6.350          6.350               9.170
12/02/16                 6.300          6.550          6.300          6.500               9.390
15/02/16                 6.550          6.700          6.500          6.500               9.390
16/02/16                 6.600          6.600          6.500          6.500               9.390
17/02/16                 6.550          6.550          6.400          6.450               9.310
18/02/16                 6.500          6.600          6.350          6.450               9.310
19/02/16                 6.500          6.600          6.400          6.600               9.530
23/02/16                 6.600          7.000          6.600          6.950              10.040
24/02/16                 6.950          7.250          6.900          7.100              10.250
25/02/16                 7.200          7.200          6.850          7.000              10.110
26/02/16                 7.100          7.100          7.000          7.050               8.540
29/02/16                 7.000          7.150          7.000          7.050               8.540
01/03/16                 7.100          7.200          7.000          7.200               8.730
02/03/16                 7.250          7.400          7.250          7.350               8.910
03/03/16                 7.400          7.400          7.350          7.350               8.910
04/03/16                 7.450          7.550          7.350          7.350               8.910
07/03/16                 7.500          7.500          7.250          7.300               8.850
08/03/16                 7.400          7.400          7.050          7.150               8.670
09/03/16                 7.150          7.400          7.100          7.350               8.910
10/03/16                 7.450          7.450          7.350          7.350               8.910
11/03/16                 7.350          7.400          7.300          7.400               8.970
14/03/16                 7.450          7.450          7.250          7.400               8.970
15/03/16                 7.400          7.400          7.250          7.300               8.850
16/03/16                 7.350          7.400          7.250          7.350               8.910
17/03/16                 7.400          7.500          7.350          7.500               9.090
18/03/16                 7.500          7.500          7.300          7.350               8.910
21/03/16                 7.450          7.450          7.300          7.300               8.850
22/03/16                 7.350          7.400          7.200          7.350               8.910
23/03/16                 7.300          7.350          7.300          7.350               8.910
24/03/16                 7.350          7.400          7.300          7.350               8.910
25/03/16                 7.350          7.350          7.200          7.200               8.730
28/03/16                 7.200          7.350          7.200          7.350               8.910
29/03/16                 7.300          7.350          7.250          7.250               8.790
30/03/16                 7.250          7.300          7.200          7.250               8.790
31/03/16                 7.350          7.350          7.250          7.250               8.790
01/04/16                 7.250          7.250          7.050          7.200               8.730
04/04/16                 7.200          7.250          7.100          7.150               8.670
05/04/16                 7.150          7.250          7.150          7.200               8.730
07/04/16                 7.200          7.250          7.100          7.150               8.670
08/04/16                 7.150          7.250          7.100          7.100               8.600
11/04/16                 7.150          7.150          7.000          7.050               8.540
12/04/16                 7.050          7.100          7.050          7.100               8.600
18/04/16                 7.100          7.300          7.100          7.300               8.850
19/04/16                 7.300          7.350          7.300          7.300               8.850
20/04/16                 7.350          7.350          7.250          7.250               8.790
