Timestamp             CMR.Open       CMR.High        CMR.Low      CMR.Close                .PE 
04/07/00                 0.090          0.090          0.090          0.090               0.000
12/06/01                 0.080          0.080          0.080          0.080               0.000
23/11/01                 0.060          0.060          0.060          0.060               0.000
11/06/02                 0.050          0.050          0.050          0.050               0.000
11/07/02                 0.050          0.050          0.050          0.050               0.000
19/08/02                 0.050          0.070          0.050          0.070               0.000
04/09/02                 0.060          0.060          0.060          0.060               0.000
05/09/02                 0.060          0.060          0.060          0.060               0.000
11/09/02                 0.060          0.060          0.060          0.060               0.000
14/11/02                 0.060          0.060          0.060          0.060              20.110
15/11/02                 0.070          0.070          0.070          0.070              20.640
19/11/02                 0.070          0.070          0.070          0.070              20.380
20/11/02                 0.060          0.060          0.060          0.060              20.110
21/11/02                 0.070          0.070          0.070          0.070              21.180
22/11/02                 0.060          0.060          0.060          0.060              19.300
25/11/02                 0.070          0.070          0.070          0.070              21.720
27/11/02                 0.070          0.070          0.070          0.070              21.720
02/12/02                 0.070          0.070          0.070          0.070              21.450
03/01/03                 0.070          0.070          0.070          0.070              21.450
08/01/03                 0.070          0.070          0.070          0.070              21.450
03/03/03                 0.090          0.090          0.090          0.090               5.760
04/03/03                 0.100          0.110          0.100          0.110               7.490
05/03/03                 0.120          0.140          0.120          0.140               9.500
06/03/03                 0.140          0.140          0.130          0.140               9.220
26/03/03                 0.140          0.140          0.140          0.140               9.220
12/05/03                 0.090          0.140          0.090          0.120               8.010
13/05/03                 0.110          0.120          0.110          0.120               7.780
14/05/03                 0.110          0.110          0.110          0.110               7.200
28/05/03                 0.100          0.120          0.100          0.120               8.520
02/06/03                 0.100          0.110          0.090          0.100               7.120
03/06/03                 0.100          0.100          0.100          0.100               6.930
04/06/03                 0.110          0.110          0.100          0.100               7.000
06/06/03                 0.090          0.110          0.090          0.100               6.750
09/06/03                 0.100          0.100          0.100          0.100               7.300
10/06/03                 0.120          0.120          0.100          0.100               7.300
16/06/03                 0.100          0.100          0.100          0.100               7.300
17/06/03                 0.100          0.100          0.100          0.100               7.300
19/06/03                 0.100          0.100          0.100          0.100               7.360
15/07/03                 0.120          0.120          0.120          0.120               8.520
16/07/03                 0.110          0.110          0.110          0.110               7.600
25/07/03                 0.130          0.140          0.130          0.140               9.850
28/07/03                 0.130          0.130          0.130          0.130               9.490
05/08/03                 0.130          0.130          0.130          0.130               9.120
14/08/03                 0.130          0.130          0.130          0.130               8.670
22/08/03                 0.140          0.140          0.140          0.140               9.540
02/09/03                 0.130          0.130          0.130          0.130               8.960
04/09/03                 0.140          0.140          0.140          0.140               9.250
08/09/03                 0.130          0.140          0.130          0.140               9.080
10/09/03                 0.120          0.120          0.110          0.110               7.290
11/09/03                 0.140          0.140          0.140          0.140               9.430
16/09/03                 0.140          0.140          0.140          0.140               9.250
17/09/03                 0.140          0.140          0.140          0.140               9.250
18/09/03                 0.140          0.140          0.140          0.140               9.250
19/09/03                 0.140          0.140          0.140          0.140               9.430
23/09/03                 0.140          0.140          0.140          0.140               9.250
24/09/03                 0.140          0.150          0.140          0.150               9.830
01/10/03                 0.140          0.140          0.140          0.140               9.250
03/10/03                 0.140          0.140          0.140          0.140               9.250
06/10/03                 0.120          0.120          0.120          0.120               8.210
07/10/03                 0.130          0.140          0.130          0.140               9.250
09/10/03                 0.130          0.140          0.130          0.140               9.250
13/10/03                 0.140          0.140          0.140          0.140               9.250
14/10/03                 0.140          0.140          0.140          0.140               9.540
20/10/03                 0.140          0.140          0.140          0.140               9.250
21/10/03                 0.140          0.140          0.140          0.140               9.250
27/10/03                 0.140          0.180          0.140          0.180              12.030
28/10/03                 0.180          0.180          0.180          0.180              11.850
29/10/03                 0.160          0.170          0.150          0.160              10.520
30/10/03                 0.160          0.160          0.160          0.160              10.520
04/11/03                 0.160          0.160          0.160          0.160              10.990
05/11/03                 0.170          0.170          0.170          0.170              11.570
07/11/03                 0.160          0.160          0.160          0.160              10.990
10/11/03                 0.160          0.160          0.160          0.160              10.990
14/11/03                 0.170          0.210          0.170          0.210              13.880
18/11/03                 0.180          0.200          0.180          0.180              12.140
19/11/03                 0.180          0.180          0.180          0.180              12.260
20/11/03                 0.180          0.180          0.180          0.180               8.250
27/11/03                 0.180          0.180          0.180          0.180               8.290
02/12/03                 0.180          0.180          0.180          0.180               8.370
08/12/03                 0.170          0.170          0.170          0.170               7.860
09/12/03                 0.170          0.170          0.170          0.170               7.890
15/12/03                 0.160          0.170          0.160          0.170               7.540
18/12/03                 0.180          0.180          0.180          0.180               8.250
22/12/03                 0.170          0.170          0.150          0.150               6.950
23/12/03                 0.150          0.150          0.150          0.150               7.070
24/12/03                 0.150          0.150          0.150          0.150               7.070
25/12/03                 0.160          0.160          0.160          0.160               7.110
29/12/03                 0.150          0.160          0.140          0.160               7.110
30/12/03                 0.160          0.160          0.160          0.160               7.110
31/12/03                 0.150          0.180          0.150          0.180               8.010
07/01/04                 0.160          0.160          0.160          0.160               7.500
08/01/04                 0.160          0.160          0.160          0.160               7.500
09/01/04                 0.170          0.170          0.170          0.170               7.540
13/01/04                 0.160          0.160          0.160          0.160               7.460
14/01/04                 0.160          0.160          0.160          0.160               7.460
15/01/04                 0.160          0.160          0.160          0.160               7.460
16/01/04                 0.160          0.160          0.150          0.160               7.500
21/01/04                 0.170          0.170          0.170          0.170               7.540
27/01/04                 0.160          0.160          0.160          0.160               7.270
28/01/04                 0.160          0.160          0.160          0.160               7.270
29/01/04                 0.160          0.160          0.160          0.160               7.460
30/01/04                 0.160          0.160          0.160          0.160               7.310
02/02/04                 0.160          0.160          0.160          0.160               7.380
03/02/04                 0.160          0.160          0.160          0.160               7.420
05/02/04                 0.160          0.160          0.160          0.160               7.420
06/02/04                 0.160          0.160          0.160          0.160               7.270
09/02/04                 0.160          0.160          0.160          0.160               7.270
11/02/04                 0.160          0.160          0.160          0.160               7.460
13/02/04                 0.160          0.160          0.160          0.160               7.190
17/02/04                 0.160          0.160          0.160          0.160               7.310
18/02/04                 0.170          0.170          0.170          0.170               7.540
19/02/04                 0.170          0.170          0.170          0.170               7.660
20/02/04                 0.170          0.170          0.170          0.170               7.660
24/02/04                 0.170          0.170          0.170          0.170               7.620
25/02/04                 0.180          0.180          0.170          0.170               8.250
27/02/04                 0.170          0.170          0.170          0.170               7.820
01/03/04                 0.180          0.200          0.180          0.200               8.990
03/03/04                 0.200          0.200          0.200          0.200               8.780
08/03/04                 0.170          0.170          0.170          0.170               7.670
09/03/04                 0.170          0.170          0.170          0.170               7.670
11/03/04                 0.170          0.170          0.170          0.170               7.670
15/03/04                 0.170          0.170          0.170          0.170               7.740
17/03/04                 0.170          0.170          0.170          0.170               7.670
18/03/04                 0.190          0.190          0.170          0.170               7.700
22/03/04                 0.170          0.170          0.170          0.170               7.630
23/03/04                 0.170          0.170          0.170          0.170               7.670
24/03/04                 0.170          0.180          0.170          0.180               7.820
25/03/04                 0.170          0.170          0.170          0.170               7.740
26/03/04                 0.170          0.170          0.170          0.170               7.740
29/03/04                 0.170          0.170          0.170          0.170               7.740
01/04/04                 0.170          0.170          0.170          0.170               7.670
02/04/04                 0.170          0.170          0.170          0.170               7.670
08/04/04                 0.160          0.170          0.160          0.170               7.630
12/04/04                 0.170          0.170          0.170          0.170               7.630
16/04/04                 0.170          0.170          0.170          0.170               7.630
29/04/04                 0.170          0.170          0.170          0.170               7.630
11/05/04                 0.160          0.170          0.160          0.170               7.630
12/05/04                 0.170          0.170          0.170          0.170               7.630
14/05/04                 0.160          0.160          0.160          0.160               7.280
17/05/04                 0.160          0.160          0.160          0.160               6.950
18/05/04                 0.150          0.150          0.150          0.150               6.580
19/05/04                 0.160          0.160          0.160          0.160               6.950
20/05/04                 0.160          0.160          0.160          0.160               6.950
21/05/04                 0.160          0.160          0.160          0.160               6.950
24/05/04                 0.160          0.160          0.160          0.160               6.950
25/05/04                 0.170          0.170          0.160          0.170               7.310
28/05/04                 0.170          0.170          0.170          0.170               7.160
01/06/04                 0.170          0.170          0.170          0.170               7.090
07/06/04                 0.180          0.180          0.180          0.180               7.680
10/06/04                 0.180          0.180          0.180          0.180               7.680
16/06/04                 0.160          0.160          0.160          0.160               6.950
09/07/04                 0.160          0.160          0.160          0.160               6.950
21/07/04                 0.150          0.150          0.150          0.150               6.580
30/07/04                 0.160          0.160          0.160          0.160               6.950
05/08/04                 0.150          0.150          0.150          0.150               6.210
06/08/04                 0.150          0.150          0.150          0.150               6.210
10/08/04                 0.150          0.150          0.150          0.150               6.210
26/08/04                 0.150          0.150          0.150          0.150               6.570
01/09/04                 0.150          0.150          0.150          0.150               6.210
17/09/04                 0.160          0.160          0.150          0.150               6.570
23/09/04                 0.150          0.160          0.150          0.160               6.610
24/09/04                 0.160          0.160          0.160          0.160               6.760
27/09/04                 0.150          0.150          0.150          0.150               6.240
29/09/04                 0.150          0.150          0.150          0.150               6.240
05/10/04                 0.150          0.150          0.150          0.150               6.280
11/10/04                 0.160          0.160          0.160          0.160               6.940
12/10/04                 0.160          0.160          0.160          0.160               6.940
18/10/04                 0.170          0.170          0.160          0.160               6.940
27/10/04                 0.150          0.150          0.150          0.150               6.210
29/11/04                 0.150          0.150          0.150          0.150               9.030
14/12/04                 0.150          0.150          0.150          0.150               8.530
16/12/04                 0.150          0.150          0.140          0.140               8.280
07/01/05                 0.140          0.140          0.140          0.140               8.430
03/02/05                 0.150          0.150          0.150          0.150               8.780
04/02/05                 0.150          0.150          0.150          0.150               8.530
10/02/05                 0.150          0.150          0.150          0.150               8.830
15/02/05                 0.150          0.150          0.150          0.150               8.580
18/02/05                 0.150          0.150          0.150          0.150               8.580
24/02/05                 0.150          0.150          0.150          0.150               8.530
25/02/05                 0.150          0.150          0.140          0.150               8.530
28/02/05                 0.150          0.150          0.150          0.150               8.530
01/03/05                 0.150          0.150          0.150          0.150               9.450
03/03/05                 0.140          0.140          0.140          0.140               9.170
10/03/05                 0.150          0.150          0.150          0.150               9.450
14/03/05                 0.150          0.150          0.150          0.150               9.450
17/03/05                 0.150          0.150          0.150          0.150               9.450
18/03/05                 0.150          0.150          0.150          0.150               9.450
21/03/05                 0.150          0.150          0.150          0.150               9.560
22/03/05                 0.150          0.150          0.150          0.150               9.560
25/03/05                 0.150          0.150          0.150          0.150               9.450
22/04/05                 0.130          0.130          0.130          0.130               8.620
10/05/05                 0.140          0.140          0.130          0.130               8.620
17/05/05                 0.130          0.130          0.130          0.130               9.600
18/05/05                 0.130          0.130          0.130          0.130               9.600
13/06/05                 0.150          0.150          0.130          0.130               9.600
20/06/05                 0.140          0.140          0.140          0.140              10.210
22/06/05                 0.140          0.140          0.140          0.140               9.910
23/06/05                 0.140          0.140          0.140          0.140               9.910
28/06/05                 0.140          0.140          0.140          0.140               9.910
