Timestamp             DRT.Open       DRT.High        DRT.Low      DRT.Close                .PE 
29/11/05                 1.400          1.440          1.230          1.250               6.830
30/11/05                 1.270          1.310          1.250          1.250               6.830
01/12/05                 1.260          1.260          1.190          1.200               6.550
02/12/05                 1.210          1.230          1.190          1.200               6.550
06/12/05                 1.200          1.260          1.200          1.230               6.720
07/12/05                 1.250          1.320          1.240          1.290               7.040
08/12/05                 1.290          1.350          1.260          1.260               6.880
09/12/05                 1.270          1.280          1.240          1.240               6.770
13/12/05                 1.260          1.260          1.210          1.220               6.660
14/12/05                 1.220          1.230          1.210          1.210               6.610
15/12/05                 1.220          1.250          1.200          1.200               6.550
16/12/05                 1.210          1.230          1.200          1.200               6.550
19/12/05                 1.220          1.220          1.200          1.200               6.550
20/12/05                 1.210          1.240          1.210          1.220               6.660
21/12/05                 1.230          1.230          1.200          1.200               6.550
22/12/05                 1.220          1.220          1.200          1.200               6.550
23/12/05                 1.200          1.210          1.200          1.200               6.550
26/12/05                 1.210          1.210          1.170          1.170               6.390
27/12/05                 1.180          1.180          1.160          1.180               6.440
28/12/05                 1.180          1.240          1.180          1.220               6.660
29/12/05                 1.220          1.220          1.210          1.210               6.610
30/12/05                 1.220          1.220          1.200          1.200               6.550
03/01/06                 1.200          1.210          1.190          1.190               6.500
04/01/06                 1.200          1.210          1.180          1.180               6.440
05/01/06                 1.190          1.220          1.190          1.210               6.610
06/01/06                 1.200          1.210          1.190          1.210               6.610
09/01/06                 1.200          1.260          1.190          1.230               6.720
10/01/06                 1.230          1.240          1.230          1.230               6.720
11/01/06                 1.230          1.240          1.230          1.230               6.720
12/01/06                 1.240          1.280          1.220          1.220               6.660
13/01/06                 1.230          1.240          1.220          1.220               6.660
16/01/06                 1.230          1.250          1.230          1.230               6.720
17/01/06                 1.240          1.260          1.230          1.250               6.830
18/01/06                 1.260          1.270          1.230          1.230               6.720
19/01/06                 1.230          1.240          1.230          1.240               6.770
20/01/06                 1.240          1.240          1.230          1.230               6.720
23/01/06                 1.230          1.250          1.230          1.240               6.770
24/01/06                 1.250          1.290          1.240          1.250               6.830
25/01/06                 1.260          1.260          1.240          1.250               6.830
26/01/06                 1.260          1.270          1.240          1.240               6.770
27/01/06                 1.240          1.270          1.240          1.250               6.830
30/01/06                 1.250          1.250          1.230          1.240               6.770
31/01/06                 1.250          1.260          1.230          1.250               6.830
01/02/06                 1.240          1.260          1.240          1.240               6.770
02/02/06                 1.240          1.250          1.220          1.240               6.770
03/02/06                 1.220          1.230          1.220          1.220               6.660
06/02/06                 1.220          1.220          1.200          1.210               6.610
07/02/06                 1.210          1.220          1.210          1.210               6.610
08/02/06                 1.210          1.210          1.200          1.200               6.550
09/02/06                 1.200          1.220          1.200          1.220               6.660
10/02/06                 1.210          1.220          1.210          1.210               6.610
14/02/06                 1.230          1.260          1.220          1.230               6.720
15/02/06                 1.240          1.250          1.230          1.230               6.720
16/02/06                 1.240          1.250          1.230          1.230               6.720
17/02/06                 1.250          1.290          1.240          1.240               6.770
