Timestamp             KSL.Open       KSL.High        KSL.Low      KSL.Close                .PE 
07/03/05                 1.890          1.910          1.660          1.670              11.550
08/03/05                 1.690          1.690          1.640          1.660              11.450
09/03/05                 1.670          1.700          1.640          1.660              11.450
10/03/05                 1.660          1.680          1.650          1.670              11.500
11/03/05                 1.670          1.670          1.650          1.650              11.390
14/03/05                 1.660          1.660          1.640          1.640              11.290
15/03/05                 1.640          1.650          1.640          1.650              11.390
16/03/05                 1.650          1.680          1.650          1.660              11.450
17/03/05                 1.670          1.830          1.660          1.830              12.600
18/03/05                 1.840          1.890          1.740          1.750              12.070
21/03/05                 1.740          1.750          1.660          1.660              11.450
22/03/05                 1.670          1.700          1.660          1.670              11.550
23/03/05                 1.680          1.710          1.670          1.670              11.550
24/03/05                 1.680          1.700          1.670          1.680               9.130
25/03/05                 1.690          1.690          1.670          1.680               9.130
28/03/05                 1.700          1.710          1.680          1.680               9.130
29/03/05                 1.680          1.690          1.630          1.630               8.840
30/03/05                 1.640          1.640          1.590          1.600               8.680
31/03/05                 1.610          1.610          1.550          1.570               8.510
01/04/05                 1.580          1.720          1.580          1.710               9.290
04/04/05                 1.630          1.700          1.590          1.690               9.170
05/04/05                 1.670          1.780          1.670          1.760               9.540
07/04/05                 1.780          1.800          1.700          1.720               9.340
08/04/05                 1.730          1.760          1.720          1.730               9.420
11/04/05                 1.740          1.740          1.700          1.740               9.460
12/04/05                 1.740          1.770          1.730          1.740               9.460
18/04/05                 1.690          1.730          1.680          1.710               9.290
19/04/05                 1.730          1.730          1.710          1.720               9.340
20/04/05                 1.740          1.750          1.720          1.720               9.340
21/04/05                 1.710          1.720          1.690          1.710               9.290
22/04/05                 1.710          1.730          1.700          1.710               9.290
25/04/05                 1.710          1.710          1.680          1.700               9.250
26/04/05                 1.700          1.700          1.700          1.700               9.210
27/04/05                 1.700          1.730          1.700          1.720               9.340
28/04/05                 1.730          1.730          1.700          1.710               9.290
29/04/05                 1.710          1.730          1.700          1.730               9.380
03/05/05                 1.740          1.740          1.720          1.740               9.460
04/05/05                 1.730          1.740          1.730          1.740               9.460
06/05/05                 1.770          1.790          1.760          1.770               9.580
09/05/05                 1.770          1.800          1.760          1.800               9.750
10/05/05                 1.820          1.820          1.770          1.780               9.670
11/05/05                 1.770          1.830          1.770          1.810               9.830
12/05/05                 1.810          1.820          1.790          1.790               9.710
13/05/05                 1.790          1.830          1.790          1.810               9.830
16/05/05                 1.800          1.800          1.790          1.800               9.790
17/05/05                 1.800          1.800          1.780          1.800               9.750
18/05/05                 1.800          1.840          1.780          1.810               9.830
19/05/05                 1.800          1.830          1.800          1.800               9.790
20/05/05                 1.800          1.800          1.800          1.800               9.790
24/05/05                 1.800          1.800          1.780          1.800               9.750
25/05/05                 1.800          1.800          1.800          1.800               9.790
26/05/05                 1.800          1.800          1.790          1.800               9.790
27/05/05                 1.800          1.810          1.800          1.810               9.830
30/05/05                 1.820          1.950          1.820          1.850              10.040
31/05/05                 1.850          1.860          1.830          1.830               9.910
01/06/05                 1.830          1.840          1.810          1.830               9.910
02/06/05                 1.840          1.840          1.830          1.830               9.910
03/06/05                 1.830          1.850          1.830          1.830               9.950
06/06/05                 1.830          1.830          1.790          1.830               9.910
07/06/05                 1.830          1.830          1.810          1.830               9.950
08/06/05                 1.830          1.870          1.830          1.830               9.950
09/06/05                 1.850          1.850          1.820          1.820               9.870
10/06/05                 1.820          1.830          1.810          1.810               9.830
