Timestamp           MALEE.Open     MALEE.High      MALEE.Low    MALEE.Close                .PE 
04/07/05                 1.230          1.230          1.210          1.220              12.130
06/07/05                 1.210          1.210          1.210          1.210              12.030
07/07/05                 1.210          1.210          1.200          1.200              11.980
08/07/05                 1.200          1.200          1.200          1.200              11.980
11/07/05                 1.180          1.200          1.180          1.200              11.980
13/07/05                 1.200          1.200          1.200          1.200              11.980
14/07/05                 1.200          1.250          1.180          1.180              11.730
15/07/05                 1.200          1.200          1.200          1.200              11.980
18/07/05                 1.130          1.200          1.130          1.200              11.930
19/07/05                 1.180          1.180          1.180          1.180              11.730
21/07/05                 1.130          1.200          1.130          1.200              11.980
25/07/05                 1.230          1.230          1.230          1.230              12.230
27/07/05                 1.230          1.230          1.230          1.230              12.230
28/07/05                 1.230          1.230          1.150          1.150              11.480
29/07/05                 1.180          1.220          1.180          1.210              12.030
01/08/05                 1.200          1.200          1.150          1.150              11.480
02/08/05                 1.150          1.200          1.150          1.200              11.930
03/08/05                 1.150          1.180          1.150          1.150              11.480
04/08/05                 1.150          1.150          1.150          1.150              11.480
05/08/05                 1.130          1.150          1.120          1.140              11.380
08/08/05                 1.150          1.150          1.120          1.120              11.190
09/08/05                 1.130          1.130          1.110          1.110              11.090
10/08/05                 1.120          1.150          1.110          1.150              11.430
11/08/05                 1.150          1.180          1.150          1.180              11.730
15/08/05                 1.180          1.180          1.180          1.180              11.730
16/08/05                 1.120          1.150          1.100          1.110              11.040
17/08/05                 1.120          1.120          1.100          1.100              10.990
19/08/05                 1.080          1.100          1.080          1.100              10.990
22/08/05                 1.100          1.180          1.100          1.150              11.480
23/08/05                 1.100          1.100          1.070          1.070              15.620
24/08/05                 1.070          1.070          1.060          1.070              15.620
25/08/05                 1.070          1.080          1.070          1.070              15.620
26/08/05                 1.070          1.070          1.050          1.060              15.480
29/08/05                 1.100          1.100          1.100          1.100              16.140
30/08/05                 1.060          1.060          1.060          1.060              15.480
31/08/05                 1.040          1.070          1.030          1.070              15.620
01/09/05                 1.070          1.070          1.030          1.030              15.110
02/09/05                 1.040          1.040          0.990          1.020              14.960
06/09/05                 0.980          1.000          0.960          0.960              14.080
07/09/05                 1.000          1.000          0.980          0.990              14.520
08/09/05                 0.990          0.990          0.990          0.990              14.450
09/09/05                 0.990          1.000          0.990          0.990              14.520
12/09/05                 0.990          0.990          0.990          0.990              14.520
13/09/05                 1.000          1.000          0.990          0.990              14.450
14/09/05                 1.000          1.000          0.980          0.980              14.380
15/09/05                 0.990          0.990          0.980          0.980              14.380
16/09/05                 0.990          1.000          0.980          1.000              14.600
19/09/05                 0.980          0.980          0.960          0.960              14.010
20/09/05                 0.960          0.990          0.960          0.990              14.450
21/09/05                 1.000          1.000          0.970          0.970              14.230
22/09/05                 0.980          1.040          0.980          1.020              14.890
23/09/05                 1.020          1.020          1.000          1.010              14.740
26/09/05                 1.000          1.010          0.990          0.990              14.520
