Timestamp            MINT.Open      MINT.High       MINT.Low     MINT.Close                .PE 
04/01/05                 2.150          2.180          2.150          2.170              11.670
05/01/05                 2.150          2.150          2.110          2.120              11.420
06/01/05                 2.110          2.150          2.110          2.140              11.510
07/01/05                 2.140          2.170          2.140          2.170              11.670
10/01/05                 2.170          2.180          2.150          2.170              11.670
11/01/05                 2.150          2.170          2.140          2.140              11.510
12/01/05                 2.180          2.180          2.120          2.140              11.510
13/01/05                 2.120          2.120          2.050          2.080              11.180
14/01/05                 2.140          2.210          2.110          2.110              11.340
17/01/05                 2.120          2.150          2.090          2.110              11.340
18/01/05                 2.110          2.110          2.080          2.090              11.260
19/01/05                 2.090          2.210          2.090          2.200              11.830
20/01/05                 2.170          2.570          2.170          2.560              13.760
21/01/05                 2.620          2.870          2.620          2.690              14.480
24/01/05                 2.690          2.890          2.690          2.690              14.480
25/01/05                 2.690          2.710          2.540          2.680              14.400
26/01/05                 2.680          3.040          2.680          2.770              14.890
27/01/05                 2.800          2.860          2.800          2.860              15.370
28/01/05                 2.850          2.900          2.830          2.840              15.290
31/01/05                 2.840          2.930          2.780          2.930              15.770
01/02/05                 2.930          2.950          2.890          2.890              15.530
02/02/05                 2.850          2.860          2.770          2.770              14.890
03/02/05                 2.780          2.780          2.690          2.690              14.480
04/02/05                 2.740          2.740          2.690          2.690              14.480
07/02/05                 2.720          2.740          2.690          2.710              14.560
08/02/05                 2.740          2.770          2.710          2.750              14.810
09/02/05                 2.750          2.840          2.750          2.810              15.130
10/02/05                 2.810          2.810          2.780          2.780              14.970
11/02/05                 2.780          2.780          2.740          2.740              14.730
14/02/05                 2.770          2.800          2.770          2.780              14.970
15/02/05                 2.800          2.810          2.800          2.810              15.130
16/02/05                 2.810          2.810          2.800          2.810              15.130
17/02/05                 2.830          2.980          2.830          2.920              15.690
18/02/05                 2.930          2.930          2.900          2.900              15.650
21/02/05                 2.890          2.920          2.830          2.830              15.250
22/02/05                 2.810          2.830          2.810          2.830              15.250
24/02/05                 2.830          2.840          2.780          2.840              15.330
25/02/05                 2.830          2.830          2.800          2.800              13.050
