Timestamp           VIBHA.Open     VIBHA.High      VIBHA.Low    VIBHA.Close                .PE 
14/07/05                 0.230          0.230          0.230          0.230              25.500
18/07/05                 0.230          0.230          0.230          0.230              25.500
19/07/05                 0.220          0.230          0.220          0.230              25.690
20/07/05                 0.220          0.230          0.220          0.230              25.690
21/07/05                 0.230          0.230          0.230          0.230              25.130
25/07/05                 0.230          0.230          0.230          0.230              25.510
26/07/05                 0.230          0.230          0.230          0.230              25.510
27/07/05                 0.230          0.230          0.230          0.230              26.070
28/07/05                 0.230          0.230          0.230          0.230              25.320
29/07/05                 0.230          0.240          0.230          0.230              26.070
03/08/05                 0.230          0.230          0.230          0.230              25.320
04/08/05                 0.230          0.230          0.230          0.230              25.690
08/08/05                 0.230          0.240          0.230          0.230              25.880
10/08/05                 0.230          0.230          0.220          0.230              25.690
11/08/05                 0.230          0.230          0.220          0.230              25.510
15/08/05                 0.230          0.230          0.220          0.220              24.760
16/08/05                 0.220          0.230          0.210          0.220              24.760
17/08/05                 0.220          0.230          0.210          0.230              25.510
18/08/05                 0.230          0.230          0.210          0.210              22.750
19/08/05                 0.210          0.210          0.210          0.210              22.930
22/08/05                 0.210          0.210          0.200          0.200              22.190
23/08/05                 0.200          0.210          0.200          0.200              22.190
24/08/05                 0.200          0.200          0.190          0.190              20.710
25/08/05                 0.190          0.200          0.190          0.190              20.530
26/08/05                 0.190          0.190          0.190          0.190              21.080
29/08/05                 0.190          0.190          0.190          0.190              20.900
30/08/05                 0.190          0.210          0.190          0.190              21.270
31/08/05                 0.200          0.210          0.200          0.210              22.560
01/09/05                 0.200          0.200          0.200          0.200              22.380
02/09/05                 0.200          0.200          0.200          0.200              22.010
05/09/05                 0.200          0.210          0.200          0.200              22.190
06/09/05                 0.200          0.210          0.200          0.210              22.560
07/09/05                 0.210          0.210          0.210          0.210              22.750
08/09/05                 0.210          0.210          0.210          0.210              22.930
09/09/05                 0.210          0.210          0.210          0.210              22.930
12/09/05                 0.210          0.210          0.210          0.210              23.490
13/09/05                 0.210          0.220          0.210          0.220              23.860
14/09/05                 0.220          0.220          0.220          0.220              24.040
15/09/05                 0.220          0.220          0.220          0.220              23.670
16/09/05                 0.220          0.220          0.220          0.220              24.040
19/09/05                 0.220          0.220          0.220          0.220              23.860
20/09/05                 0.220          0.220          0.220          0.220              23.860
21/09/05                 0.220          0.220          0.220          0.220              23.860
22/09/05                 0.220          0.220          0.220          0.220              23.860
23/09/05                 0.220          0.220          0.220          0.220              23.860
26/09/05                 0.220          0.220          0.220          0.220              24.040
27/09/05                 0.220          0.220          0.220          0.220              23.860
28/09/05                 0.220          0.220          0.210          0.210              23.300
30/09/05                 0.220          0.220          0.220          0.220              23.670
03/10/05                 0.210          0.220          0.210          0.210              23.300
04/10/05                 0.220          0.220          0.220          0.220              24.040
05/10/05                 0.220          0.220          0.220          0.220              23.860
06/10/05                 0.220          0.240          0.220          0.230              24.970
07/10/05                 0.230          0.230          0.220          0.220              24.410
10/10/05                 0.220          0.220          0.220          0.220              23.860
11/10/05                 0.220          0.220          0.220          0.220              23.670
12/10/05                 0.220          0.220          0.210          0.210              23.300
13/10/05                 0.210          0.210          0.210          0.210              23.120
14/10/05                 0.210          0.210          0.210          0.210              23.300
17/10/05                 0.210          0.210          0.210          0.210              22.850
18/10/05                 0.210          0.210          0.210          0.210              22.850
19/10/05                 0.210          0.210          0.210          0.210              22.670
20/10/05                 0.210          0.210          0.210          0.210              22.850
21/10/05                 0.210          0.210          0.210          0.210              22.850
25/10/05                 0.210          0.210          0.200          0.200              22.480
26/10/05                 0.210          0.210          0.210          0.210              22.850
27/10/05                 0.210          0.210          0.210          0.210              22.850
28/10/05                 0.210          0.210          0.210          0.210              23.040
01/11/05                 0.210          0.210          0.210          0.210              23.040
02/11/05                 0.210          0.210          0.210          0.210              23.040
03/11/05                 0.210          0.210          0.210          0.210              22.850
04/11/05                 0.210          0.210          0.200          0.200              22.480
07/11/05                 0.200          0.210          0.200          0.200              22.480
08/11/05                 0.210          0.210          0.200          0.200              22.290
09/11/05                 0.210          0.210          0.200          0.200              22.290
10/11/05                 0.200          0.200          0.200          0.200              22.290
11/11/05                 0.200          0.200          0.200          0.200              21.920
14/11/05                 0.200          0.200          0.200          0.200              21.920
15/11/05                 0.200          0.200          0.200          0.200              21.920
16/11/05                 0.200          0.200          0.200          0.200              22.940
17/11/05                 0.200          0.200          0.200          0.200              23.140
18/11/05                 0.200          0.200          0.190          0.190              22.740
21/11/05                 0.190          0.190          0.190          0.190              22.350
22/11/05                 0.190          0.190          0.190          0.190              22.350
24/11/05                 0.190          0.190          0.190          0.190              22.350
25/11/05                 0.190          0.190          0.190          0.190              22.350
28/11/05                 0.190          0.190          0.190          0.190              22.550
29/11/05                 0.190          0.190          0.190          0.190              22.550
30/11/05                 0.190          0.190          0.190          0.190              21.760
01/12/05                 0.190          0.190          0.180          0.180              21.360
02/12/05                 0.190          0.190          0.180          0.190              21.950
