Date,Open,High,Low,Close,Change,%Change,Total Volume,Total Value
14/07/2017,49.00,49.00,48.50,48.75, -0.25, -0.51,"21,740,382","1,060,134.28"
13/07/2017,49.75,50.00,48.75,49.00, -0.50, -1.01,"28,565,951","1,409,542.56"
12/07/2017,49.25,50.25,49.00,49.50, +0.50, +1.02,"55,675,479","2,771,597.51"
11/07/2017,48.50,49.25,48.25,49.00, +0.50, +1.03,"37,132,199","1,809,546.81"
07/07/2017,49.50,49.75,48.25,48.50, -1.25, -2.51,"59,998,905","2,933,164.52"
06/07/2017,47.50,50.00,47.25,49.75, +2.50, +5.29,"97,056,144","4,742,613.55"
05/07/2017,46.75,47.75,46.75,47.25, +0.75, +1.61,"39,855,691","1,885,759.51"
04/07/2017,47.00,47.25,46.50,46.50, -0.75, -1.59,"15,810,044","740,834.28"
03/07/2017,47.50,47.50,46.75,47.25, 0.00, 0.00,"15,181,870","715,134.82"
30/06/2017,47.25,47.50,47.00,47.25, 0.00, 0.00,"24,717,631","1,169,940.67"
29/06/2017,47.25,48.00,47.00,47.25, +0.50, +1.07,"49,080,322","2,330,689.99"
28/06/2017,47.00,47.50,46.75,46.75, -0.25, -0.53,"31,469,560","1,479,567.27"
27/06/2017,46.25,47.25,46.00,47.00, +1.00, +2.17,"37,347,489","1,750,355.12"
26/06/2017,46.50,46.75,45.75,46.00, -0.25, -0.54,"16,530,598","762,340.96"
23/06/2017,46.75,46.75,46.25,46.25, -0.25, -0.54,"13,885,600","645,743.11"
22/06/2017,46.00,46.50,46.00,46.50, +0.50, +1.09,"33,007,014","1,532,217.73"
21/06/2017,46.00,46.00,45.50,46.00, 0.00, 0.00,"19,045,390","872,967.88"
20/06/2017,46.50,46.50,45.75,46.00, -0.50, -1.08,"27,789,590","1,282,581.75"
19/06/2017,45.50,47.00,45.25,46.50, +1.25, +2.76,"73,877,768","3,412,818.29"
16/06/2017,45.00,45.50,44.75,45.25, +0.75, +1.69,"81,362,326","3,674,342.97"
15/06/2017,44.25,44.50,44.00,44.50, +0.25, +0.56,"9,405,043","416,940.12"
14/06/2017,44.00,44.50,44.00,44.25, 0.00, 0.00,"11,370,910","503,175.79"
13/06/2017,44.00,44.25,43.50,44.25, +0.25, +0.57,"24,875,142","1,092,336.62"
12/06/2017,44.25,44.50,44.00,44.00, -0.50, -1.12,"10,635,236","469,991.96"
09/06/2017,44.75,44.75,44.00,44.50, -0.25, -0.56,"13,472,468","598,248.02"
08/06/2017,44.00,44.75,43.75,44.75, +0.75, +1.70,"13,377,473","593,670.45"
07/06/2017,45.00,45.00,43.75,44.00, -1.00, -2.22,"44,915,453","1,987,655.98"
06/06/2017,45.00,45.00,44.50,45.00, 0.00, 0.00,"21,350,906","957,747.94"
05/06/2017,44.75,45.00,44.25,45.00, +0.50, +1.12,"35,843,283","1,601,415.53"
02/06/2017,44.25,44.75,44.00,44.50, +0.50, +1.14,"70,960,577","3,164,996.06"
01/06/2017,42.50,44.00,42.50,44.00, +1.50, +3.53,"72,556,747","3,141,023.39"
