Date,Open,High,Low,Close,Change,%Change,Total Volume,Total Value
14/07/2017,190.00,190.00,187.00,188.50, -1.00, -0.53,"4,221,490","796,537.57"
13/07/2017,188.50,189.50,188.50,189.50, +2.00, +1.07,"7,350,774","1,389,354.99"
12/07/2017,187.00,188.50,187.00,187.50, +0.50, +0.27,"5,926,966","1,112,934.90"
11/07/2017,185.50,188.00,185.00,187.00, +2.00, +1.08,"7,944,057","1,486,272.96"
07/07/2017,185.50,185.50,184.00,185.00, -0.50, -0.27,"1,647,582","304,442.28"
06/07/2017,185.00,186.00,184.50,185.50, 0.00, 0.00,"1,924,938","356,645.95"
05/07/2017,185.00,186.00,184.50,185.50, +1.00, +0.54,"2,643,041","489,661.95"
04/07/2017,185.50,185.50,184.50,184.50, -0.50, -0.27,"1,545,696","286,167.24"
03/07/2017,185.50,186.00,185.00,185.00, 0.00, 0.00,"1,273,607","236,056.82"
30/06/2017,184.00,185.50,184.00,185.00, +1.00, +0.54,"4,412,357","814,842.89"
29/06/2017,184.50,186.00,183.50,184.00, +0.50, +0.27,"7,007,601","1,295,799.93"
28/06/2017,182.50,184.00,182.00,183.50, +1.50, +0.82,"6,174,984","1,131,545.97"
27/06/2017,181.50,182.00,181.50,182.00, +0.50, +0.28,"2,200,620","400,145.77"
26/06/2017,181.50,182.00,181.00,181.50, +0.50, +0.28,"3,418,552","620,462.06"
23/06/2017,181.00,181.50,180.50,181.00, 0.00, 0.00,"5,297,193","958,928.98"
22/06/2017,180.50,181.50,180.00,181.00, +1.00, +0.56,"2,084,911","376,718.13"
21/06/2017,181.00,182.50,180.00,180.00, -1.00, -0.55,"5,261,869","953,444.14"
20/06/2017,180.50,181.50,180.00,181.00, +0.50, +0.28,"2,172,717","392,821.68"
19/06/2017,180.50,181.00,179.50,180.50, +0.50, +0.28,"7,214,327","1,298,921.35"
16/06/2017,179.50,180.50,179.50,180.00, +1.00, +0.56,"3,483,564","626,368.51"
15/06/2017,180.00,180.00,178.00,179.00, -1.00, -0.56,"4,238,269","759,267.43"
14/06/2017,180.00,180.50,179.00,180.00, 0.00, 0.00,"2,296,311","413,028.68"
13/06/2017,180.50,181.00,179.50,180.00, 0.00, 0.00,"4,666,251","839,877.41"
12/06/2017,179.50,180.00,178.50,180.00, +1.00, +0.56,"1,968,069","353,263.32"
09/06/2017,180.00,180.50,178.50,179.00, -1.00, -0.56,"3,309,212","594,209.77"
08/06/2017,181.00,181.00,179.50,180.00, -1.00, -0.55,"2,323,369","418,542.50"
07/06/2017,180.00,181.00,179.50,181.00, +1.00, +0.56,"2,427,921","437,493.64"
06/06/2017,181.50,182.00,179.50,180.00, -1.50, -0.83,"2,205,233","398,196.66"
